Expanded,Contraction
do not,don't
does not,doesn't
did not,didn't
is not,isn't
are not,aren't
was not,wasn't
were not,weren't
has not,hasn't
have not,haven't
had not,hadn't
will not,won't
would not,wouldn't
could not,couldn't
should not,shouldn't
must not,mustn't
cannot,can't
can not,can't
it is,it's
that is,that's
there is,there's
here is,here's
what is,what's
who is,who's
they are,they're
we are,we're
you are,you're
he is,he's
she is,she's
i am,I'm
i have,I've
i will,I'll
i would,I'd
they have,they've
we have,we've
you have,you've
they will,they'll
we will,we'll
you will,you'll
they would,they'd
we would,we'd
you would,you'd
he will,he'll
she will,she'll
he would,he'd
she would,she'd
let us,let's
